id;id_ex;siret;gestion;date_creat;date_publi;nature;groupement;titre;objet;objet_social1;objet_social2;adr1;adr2;adr3;adrs_codepostal;libcom;adrs_codeinsee;dir_civilite;siteweb;observation;position;rup_mi;maj_time
"293S0293002536";"0293002536";"";"293S";"0001-01-01";"1983-10-23";"D";"S";"LES AMIS DU VIEUX LANDI";"Inventorier le patrimoine culturel de landivisiau et de sa region, le preserver, le faire connaitre, et completer les recherches deja effectuees";"000000";"000000";"Mairie";"";"";"29230";"LANDIVISIAU";"29105";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002537";"0293002537";"";"293S";"0001-01-01";"1983-10-23";"D";"S";"INTER MUSIC";"Promouvoir toutes cultures artistiques ou musicales";"000000";"000000";"13, place cornic";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002538";"0293002538";"";"293S";"0001-01-01";"1983-11-08";"D";"S";"ASSOCIATION DES MODELISTES DE LA BAIE DE MORLAIX";"Pratique du modelisme";"000000";"000000";"32, rue ty nevez";"";"";"29210";"SAINT-MARTIN-DES-CHAMPS";"29254";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002540";"0293002540";"";"293S";"0001-01-01";"1983-11-08";"D";"S";"AMICALE DU PERSONNEL DE LA COMMUNE DE TAULE";"Resserrer les liens amicaux entre les membres du personnels communal - entr'aide";"000000";"000000";"Mairie";"";"";"29231";"TAULE";"29279";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002541";"0293002541";"";"293S";"0001-01-01";"1983-11-15";"D";"S";"FREQUENCE BRETAGNE";"Favoriser l'animation et la promotion de la region desservie par l'emetteur par differentes actions : radio locale, conferences, publications de revues et bulletins d'informations";"000000";"000000";"2, place de callac";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002542";"0293002542";"";"293S";"0001-01-01";"1983-11-17";"D";"S";"BRULU";"Aider l'ecole diwan de santec";"000000";"000000";"Foyer pour tous";"";"";"29250";"PLOUGOULM";"29192";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002543";"0293002543";"";"293S";"0001-01-01";"1983-11-25";"D";"S";"AMICALE DES EMPLOYES COMMUNAUX DE PLOUEZOC'H";"Organisation des loisirs, repas de noel, sortie annuelle, aide auxfamilles des emploues municipaux lors d'evenements familiaux";"000000";"000000";"Mairie";"";"";"29252";"PLOUEZOCH";"29186";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002544";"0293002544";"";"293S";"0001-01-01";"1983-11-25";"D";"S";"ASSOCIATION D'ENTR'AIDE COOPERATIVE POUR LES TRAVAILLEURS HANDICAPES DU C.A.T. DE SAINT POL DE LEON (A.E.C.)";"Elargir les possibilites d'accompagnement humain et social des personnes handicapes mentales, favoriser leur participation a leurpropre prise en charge";"000000";"000000";"20, rue pen ar liorzou";"";"";"29250";"SAINT-POL-DE-LEON";"29259";"PM";"";"W293003379";"R";"";"2017-04-06  04:01:56"
"293S0293002546";"0293002546";"";"293S";"0001-01-01";"1983-11-27";"D";"S";"ASSOCIATION SPORTIVE DU COLLEGE DE COMMANA";"Organiser et developper l'initiation et la pratique sportives";"000000";"000000";"20, rue de landivisiau";"";"";"29237";"COMMANA";"29038";"PM";"";"W293002957";"R";"";"2015-06-30  06:48:11"
"293S0293002547";"0293002547";"";"293S";"0001-01-01";"1983-11-25";"D";"S";"ASSOCIATION DES ANCIENS ELEVES DU BREVET DE TECHNICIEN SUPERIEUR DE SUSCINIO";"Developper les relations entre les eleves et les professionnels garder un contact entre les promotions, asseoir la reputation de la formation";"000000";"000000";"Lycee agricole de morlaix - suscinio";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002549";"0293002549";"";"293S";"0001-01-01";"1983-12-01";"D";"S";"ASSOCIATION REUNIONNAISE";"Faire connaitre l'ile de la reunion, son folklore, ses danses. aider les migrants reunionnais";"000000";"000000";"Bat b";"Rue courbet";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002552";"0293002552";"";"293S";"0001-01-01";"1983-12-11";"D";"S";"ARTS ET LOISIRS";"Initiation aux techniques artistiques de decorations et au bricolage";"000000";"000000";"Ancienne marie";"";"";"29222";"PLOUENAN";"29184";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002553";"0293002553";"";"293S";"0001-01-01";"1983-12-11";"D";"S";"CLUB CELTIC VOL LIBRE";"Promouvoir le vol libre dans notre region";"000000";"000000";"9, route nationale";"Penze";"";"29231";"TAULE";"29279";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002557";"0293002557";"";"293S";"0001-01-01";"1983-12-27";"D";"S";"COMITE DE DEFENSE DES RIVERAINS DU TRACE DE LA LIGNE A TRES HAUTE TENSION BRENNILIS PLEYBER CHRIST";"Informer la population, preserver les interets de celle-ci, la defendre contre les prejudices lies a l'installation des lignes electriques a tres haute tension";"000000";"000000";"Keryell";"";"";"29223";"PLOUNEOUR-MENEZ";"29202";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002558";"0293002558";"";"293S";"0001-01-01";"1984-01-04";"D";"S";"CLIQUE SAINTE BARBE";"Animation musicale";"000000";"000000";"Kerhoret";"";"";"29211";"ROSCOFF";"29239";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002559";"0293002559";"";"293S";"0001-01-01";"1984-01-08";"D";"S";"PERSONNEL SERA";"Gestion des dons recus au profit du personnel";"000000";"000000";"Z.i. fromeur";"";"";"29230";"LANDIVISIAU";"29105";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002560";"0293002560";"";"293S";"0001-01-01";"1984-01-08";"D";"S";"KARATE SHOTOKAN CLUB";"Developper la pratique du karate et susciter des liens d'amitie entre ses membres";"000000";"000000";"24, rue courte";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002561";"0293002561";"";"293S";"0001-01-01";"1984-01-04";"D";"S";"SPRINT CLUB 2000";"Propager et developper le sport cycliste et la pratique de l'education physique organisation de courses cyclistes, pratique cyclotourisme";"000000";"000000";"21, place charles de gaulle";"";"";"29210";"MORLAIX";"29151";"PM";"";"W293003383";"R";"";"2017-04-10  04:57:35"
"293S0293002563";"0293002563";"";"293S";"0001-01-01";"1984-01-12";"D";"S";"FUN BAIE";"Promouvoir la planche a voile evolutive en baie de morlaix";"000000";"000000";"40, place charles de gaulle";"";"";"29210";"MORLAIX";"29151";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
"293S0293002570";"0293002570";"";"293S";"0001-01-01";"1984-01-17";"D";"S";"BRETAGNE APLOMB YOGA";"Etudier tout ce qui touche a l'aplomb, au bien etre, a l'harmonie de l'etre humain favoriser la pratique de l'aplomb et du yoga dans la vie quotidienne";"000000";"000000";"66, rue st fiacre";"";"";"29210";"PLOURIN-LES-MORLAIX";"29207";"PM";"";"Reprise auto =>  date publication création au JO à vérifier";"A";"";"2006-03-16  03:06:40"
